Participant,Block,Trial,State,Action,Reward,V_t,posterior_std_0,posterior_std_1,poster_mean_0,poster_mean_1,TU,RU,P_a0_thompson
0,7,9,79,0,10.04885576198428,16.36134040224829,1.0,3.333333333333334,8.948029665356152,-7.413310736892136,2.081665999466133,-0.8257418583505538,0.9999999999999981
0,8,0,80,1,6.498341462180612,0.0,5.0,5.0,0.0,0.0,3.1622776601683795,0.0,0.5
0,8,1,81,1,5.167332683094883,-2.1661138207268706,5.0,3.333333333333334,0.0,2.1661138207268706,2.886751345948129,0.410326119149236,0.22651780193679677
0,8,2,82,1,4.962392613765684,-2.916418536318874,5.0,2.5000000000000004,0.0,2.916418536318874,2.7386127875258306,0.6549291474156,0.14345482684949146
0,8,3,83,1,12.679813119459713,-3.325613351808236,5.0,2.0,0.0,3.325613351808236,2.6457513110645907,0.8218544151266947,0.10438339055262852
0,8,4,84,1,14.731682514787952,-4.884646646416815,5.0,1.6666666666666667,0.0,4.884646646416815,2.581988897471611,0.9450735287639842,0.029257782933527265
0,8,5,85,1,3.0704784179554974,-6.2913660561841205,5.0,1.4285714285714286,0.0,6.2913660561841205,2.53546276418555,1.0408393681653962,0.0065443216607440555
0,8,6,86,1,8.78280813976664,-5.888755101405542,5.0,1.25,0.0,5.888755101405542,2.5,1.118033988749895,0.009248847720989502
0,8,7,87,1,0.9316120833434225,-6.210316550112331,5.0,1.1111111111111112,0.0,6.210316550112331,2.4720661623652207,1.18197542411033,0.005999108930857763
0,8,8,88,1,6.854041155783454,-5.68244610343544,5.0,1.0,0.0,5.68244610343544,2.449489742783178,1.2360679774997898,0.010174526153276669
0,8,9,89,1,1.3766258478429327,-5.788954744557987,5.0,0.9090909090909091,0.0,5.788954744557987,2.4308621740219887,1.2826053882541975,0.00862252748989904
0,9,0,90,0,1.8554855346139068,0.0,5.0,5.0,0.0,0.0,3.1622776601683795,0.0,0.5
0,9,1,91,1,5.619474778539407,0.6184951782046355,3.333333333333334,5.0,0.6184951782046355,0.0,2.886751345948129,-0.410326119149236,0.5848251219284871
0,9,2,92,1,2.837636632653868,-1.2546630813085,3.333333333333334,3.333333333333334,0.6184951782046355,1.8731582595131355,2.5819888974716116,0.0,0.3135087808542817
0,9,3,93,1,9.574596531813627,-1.495782674593683,3.333333333333334,2.5000000000000004,0.6184951782046355,2.1142778527983186,2.41522945769824,0.24460302826636404,0.26785513552711077
0,9,4,94,1,1.2145329573012345,-2.9878464103967453,3.333333333333334,2.0,0.6184951782046355,3.6063415886013805,2.3094010767585034,0.41152829597745866,0.09787149799919298
0,9,5,95,1,2.870911966464292,-2.5892116385133876,3.333333333333334,1.6666666666666667,0.6184951782046355,3.207706816718023,2.23606797749979,0.5347474096147482,0.12344616995455115
