Participant,Block,Trial,Global_Trial,Mean_Reward_Arm0,Mean_Reward_Arm1,RNN_Action,RNN_Reward,RNN_Prob_Action0,Kalman_V_t,Kalman_post_mean_0,Kalman_post_mean_1,Kalman_post_variance_0,Kalman_post_variance_1,Kalman_kalman_gain_0,Kalman_kalman_gain_1,Kalman_RU,Kalman_TU
33,12,9,6056,-11.775107392615087,13.54084610795391,1,10.984857050148419,0.012616161,-11.391348680384265,0.0,11.391348680384265,5.0,0.9090909090909091,0.0,0.09090909090909091,1.2826053882541975,2.4308621740219887
33,13,1,6057,6.8015614327766984,6.2485764894520655,1,5.643042470711369,0.14740273,-1.8810141569037895,0.0,1.8810141569037895,5.0,3.333333333333334,0.0,0.3333333333333333,0.410326119149236,2.886751345948129
33,13,2,6058,6.8015614327766984,6.2485764894520655,1,3.991898298590081,0.0006984436,-2.4087351923253624,0.0,2.4087351923253624,5.0,2.5000000000000004,0.0,0.25000000000000006,0.6549291474156,2.7386127875258306
33,13,3,6059,6.8015614327766984,6.2485764894520655,1,5.633162813185482,0.010015963,-3.0536207164973863,0.0,3.0536207164973863,5.0,2.0,0.0,0.20000000000000004,0.8218544151266947,2.6457513110645907
33,13,4,6060,6.8015614327766984,6.2485764894520655,1,1.6249241423916172,0.00014078667,-2.8155046208130914,0.0,2.8155046208130914,5.0,1.6666666666666667,0.0,0.16666666666666666,0.9450735287639842,2.581988897471611
33,13,5,6061,6.8015614327766984,6.2485764894520655,1,2.874320569211902,1.299238e-07,-2.8239068991557787,0.0,2.8239068991557787,5.0,1.4285714285714286,0.0,0.14285714285714288,1.0408393681653962,2.53546276418555
33,13,6,6062,6.8015614327766984,6.2485764894520655,1,6.589409355858646,0.0151212225,-3.2945947062436374,0.0,3.2945947062436374,5.0,1.25,0.0,0.125,1.118033988749895,2.5
33,13,7,6063,6.8015614327766984,6.2485764894520655,1,2.0623487362899966,7.0866647e-13,-3.1576784873598993,0.0,3.1576784873598993,5.0,1.1111111111111112,0.0,0.1111111111111111,1.18197542411033,2.4720661623652207
33,13,8,6064,6.8015614327766984,6.2485764894520655,1,6.476521576353018,5.849143e-10,-3.4895627962592113,0.0,3.4895627962592113,5.0,1.0,0.0,0.1,1.2360679774997898,2.449489742783178
33,13,9,6065,6.8015614327766984,6.2485764894520655,1,5.576819662504283,7.9441136e-08,-3.6793134204633087,0.0,3.6793134204633087,5.0,0.9090909090909091,0.0,0.09090909090909091,1.2826053882541975,2.4308621740219887
